surface,file_path,token_type,count,example_lines
component:EditHardwareModal,src/components/EditHardwareModal.tsx,hardcoded_border_radius,0,
component:EditHardwareModal,src/components/EditHardwareModal.tsx,spec030_token_usage,4,"L45: <dialog className=""modal modal-open glass-modal-backdrop"" open> | L46: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L56: className=""input input-bordered input-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"""
component:ErrorBoundary,src/components/ErrorBoundary.tsx,tailwind_shadow_utility,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,tailwind_rounded_utility,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,tailwind_border_utility,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,raw_rgba,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,css_custom_property,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,backdrop_filter_assignment,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,hardcoded_box_shadow,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,hardcoded_border_radius,0,
component:ErrorBoundary,src/components/ErrorBoundary.tsx,spec030_token_usage,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,tailwind_shadow_utility,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,tailwind_rounded_utility,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,tailwind_border_utility,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,raw_rgba,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,css_custom_property,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,backdrop_filter_assignment,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,hardcoded_box_shadow,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,hardcoded_border_radius,0,
component:LoadingSpinner,src/components/LoadingSpinner.tsx,spec030_token_usage,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,tailwind_shadow_utility,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,tailwind_rounded_utility,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,tailwind_border_utility,6,"L64: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L82: className=""input input-bordered input-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"" | L105: className=""select select-bordered select-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"""
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,raw_rgba,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,css_custom_property,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,backdrop_filter_assignment,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,hardcoded_box_shadow,0,
